time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
4.5,1.15,6.7,3.35,0.7444444444444444444444444444444444
4.6,1.15,6.9,3.45,0.75
4.7,1.15,7.1,3.55,0.7553191489361702127659574468085106
4.8,1.15,7.3,3.65,0.7604166666666666666666666666666667
4.9,1.15,7.5,3.75,0.7653061224489795918367346938775510
5.0,1.15,7.7,3.85,0.77
5.1,1.15,7.9,3.95,0.7745098039215686274509803921568627
5.2,1.15,8.1,4.05,0.7788461538461538461538461538461538
5.3,1.15,8.3,4.15,0.7830188679245283018867924528301887
5.4,1.15,8.5,4.25,0.7870370370370370370370370370370370
5.5,1.15,8.7,4.35,0.7909090909090909090909090909090909
5.6,1.15,8.9,4.45,0.7946428571428571428571428571428571
5.7,1.15,9.1,4.55,0.7982456140350877192982456140350877
5.8,1.15,9.3,4.65,0.8017241379310344827586206896551724
5.9,1.15,9.5,4.75,0.8050847457627118644067796610169492
6.0,1.15,9.7,4.85,0.8083333333333333333333333333333333
6.1,1.15,9.9,4.95,0.8114754098360655737704918032786885
6.2,1.15,10.1,5.05,0.8145161290322580645161290322580645
6.3,1.15,10.3,5.15,0.8174603174603174603174603174603175
6.4,1.15,10.5,5.25,0.8203125
6.5,1.15,10.7,5.35,0.8230769230769230769230769230769231
6.6,1.15,10.9,5.45,0.8257575757575757575757575757575758
6.7,1.15,11.1,5.55,0.8283582089552238805970149253731343
6.8,1.15,11.3,5.65,0.8308823529411764705882352941176471
6.9,1.15,11.5,5.75,0.8333333333333333333333333333333333
7.0,1.15,11.7,5.85,0.8357142857142857142857142857142857
7.1,1.15,11.9,5.95,0.8380281690140845070422535211267606
7.2,1.15,12.1,6.05,0.8402777777777777777777777777777778
7.3,1.15,12.3,6.15,0.8424657534246575342465753424657534
7.4,1.15,12.5,6.25,0.8445945945945945945945945945945946
7.5,1.15,12.7,6.35,0.8466666666666666666666666666666667
